"Meetnet";"ID";"Habitattype";"Habitatsubtype";"Versie";"Regio";"PolygonWeight";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"PINK";"Polygoon216";"2110";"2110";"Versie 2.0";"Atlantic";41;1;4;1;25;0
"PINK";"Polygoon216";"2110";"2110";"Versie 3";"Atlantic";41;2;5;1;40;0
"PINK";"Polygoon217";"2110";"2110";"Versie 2.0";"Atlantic";597;3;4;0;75;1
"PINK";"Polygoon217";"2110";"2110";"Versie 3";"Atlantic";597;4;5;0;80;1
"PINK";"Polygoon218";"2110";"2110";"Versie 2.0";"Atlantic";122;2;4;0;50;0
"PINK";"Polygoon218";"2110";"2110";"Versie 3";"Atlantic";122;3;5;0;60;1
"PINK";"Polygoon219";"2110";"2110";"Versie 2.0";"Atlantic";85;1;4;1;25;0
"PINK";"Polygoon219";"2110";"2110";"Versie 3";"Atlantic";85;2;5;1;40;0
"PINK";"Polygoon22";"2110";"2110";"Versie 2.0";"Atlantic";178;1;4;1;25;0
"PINK";"Polygoon22";"2110";"2110";"Versie 3";"Atlantic";178;2;5;1;40;0
"PINK";"Polygoon220";"2110";"2110";"Versie 2.0";"Atlantic";153;2;4;0;50;0
"PINK";"Polygoon220";"2110";"2110";"Versie 3";"Atlantic";153;3;5;0;60;1
"PINK";"Polygoon221";"2110";"2110";"Versie 2.0";"Atlantic";429;2;4;0;50;0
