"Scenario";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"SBZH";"PlotWeight";"StratumWeight";"WeightComb";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"Combinatie crikelplot en vegetatieplot";"1117877";1330;"1330_hpr";"Versie 2.0";"Binnen";0,5;6,62466184943237;3,31233092471619;6;6;0;100;1
"Combinatie crikelplot en vegetatieplot";"1117877";1330;"1330_hpr";"Versie 3";"Binnen";0,5;6,62466184943237;3,31233092471619;6;6;0;100;1
"Combinatie crikelplot en vegetatieplot";"11366482";6120;"6120";"Versie 2.0";"Binnen";0,3;5,92188661716822;1,77656598515047;6;8;0;75;1
"Combinatie crikelplot en vegetatieplot";"11366482";6120;"6120";"Versie 3";"Binnen";0,3;5,92188661716822;1,77656598515047;6;10;2;60;0
"Combinatie crikelplot en vegetatieplot";"1140434";7140;"7140_meso";"Versie 2.0";"Binnen";0,8;5,18362950735022;4,14690360588017;5;8;0;62,5;1
"Combinatie crikelplot en vegetatieplot";"1140434";7140;"7140_meso";"Versie 3";"Binnen";0,8;5,18362950735022;4,14690360588017;9;12;0;75;1
"Combinatie crikelplot en vegetatieplot";"1150886";6230;"6230_hmo";"Versie 2.0";"Binnen";0,96;2,27842490061699;2,18728790459231;7;9;0;77,7777777777778;1
"Combinatie crikelplot en vegetatieplot";"1150886";6230;"6230_hmo";"Versie 3";"Binnen";0,96;2,27842490061699;2,18728790459231;8;11;1;72,7272727272727;0
"Combinatie crikelplot en vegetatieplot";"1156230";6410;"6410_mo";"Versie 2.0";"Buiten";0,87;0,729345731337661;0,634530786263765;8;11;2;72,7272727272727;0
"Combinatie crikelplot en vegetatieplot";"1156230";6410;"6410_mo";"Versie 3";"Buiten";0,87;0,729345731337661;0,634530786263765;11;13;2;84,6153846153846;0
"Combinatie crikelplot en vegetatieplot";"116950";6230;"6230_ha";"Versie 2.0";"Binnen";1;9,00623917481993;9,00623917481993;4;6;0;66,6666666666667;1
